id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0124,75-45-6,,1 ppm = 3.54 mg/m<sup>3</sup>,N.D.,: TWA 1000 ppm (3500 mg/m<sup>3</sup>) ST 1250 ppm (4375 mg/m<sup>3</sup>)                  : none,86.5,-41°F,-231°F,Sol(77°F): 0.3%,9.4 atm,12.45 eV,,NA,NA,NA,3.11,,Nonflammable Gas,"inhalation, skin and/or eye contact (liquid)","irritation respiratory system; confusion, drowsiness, ringing in ears; heart palpitations, cardiac arrhythmias; asphyxia; liver, kidney, spleen injury; liquid: frostbite","respiratory system, cardiovascular system, central nervous system, liver, kidneys, spleen",() <strong>Skin:</strong> Frostbite                  <strong>Eyes:</strong> Frostbite                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Frostbite wash,()<strong>Eye:</strong> Frostbite                  <strong>Skin:</strong> Frostbite                  <strong>Breathing:</strong> Respiratory support
0125,53469-21-9,,,Ca [5 mg/m<sup>3</sup>],*: Ca TWA 0.001 mg/m<sup>3</sup>  [*Note: The REL also applies to other PCBs.]                  : TWA 1 mg/m<sup>3</sup> [skin],258 (approx),617-691°F,-2°F,Insoluble,0.001 mmHg,?,Sp.Gr(77°F): 1.39,NA,NA,NA,,,"Nonflammable Liquid, but exposure in a fire results in the formation of a black soot containing PCBs, polychlorinated dibenzofurans &amp; chlorinated dibenzo-p-dioxins.","inhalation, skin absorption, ingestion, skin and/or eye contact",irritation eyes; chloracne; liver damage; reproductive effects; [potential occupational carcinogen],"Skin, eyes, liver, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0126,11097-69-1,,,Ca [5 mg/m<sup>3</sup>],*: Ca TWA 0.001 mg/m<sup>3</sup>  [*Note: The REL also applies to other PCBs.]                  : TWA 0.5 mg/m<sup>3</sup> [skin],326 (approx),689-734°F,50°F,Insoluble,0.00006 mmHg,?,Sp.Gr(77°F): 1.38,NA,NA,NA,,,"Nonflammable Liquid, but exposure in a fire results in the formation of a black soot containing PCBs, polychlorinated dibenzofurans, and chlorinated dibenzo-p-dioxins.","inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, chloracne; liver damage; reproductive effects; [potential occupational carcinogen]","Skin, eyes, liver, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0127,67-66-3,,1 ppm = 4.88 mg/m<sup>3</sup>,Ca [500 ppm],: Ca ST 2 ppm (9.78 mg/m<sup>3</sup>) [60-minute] : C 50 ppm (240 mg/m<sup>3</sup>),119.4,143°F,-82°F,Sol(77°F): 0.5%,160 mmHg,11.42 eV,1.48,NA,NA,NA,,,Noncombustible Liquid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin; dizziness, mental dullness, nausea, confusion; headache, lassitude (weakness, exhaustion); anesthesia; enlarged liver; [potential occupational carcinogen]","Liver, kidneys, heart, eyes, skin, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0128,542-88-1,,,Ca [N.D.],: Ca,115.0,223°F,-43°F,Reacts,VP(72°F): 30 mmHg,?,1.32,&lt;66°F,?,?,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane, respiratory system; pulmonary congestion, edema; corneal damage, necrosis; decreased pulmonary function, cough, dyspnea (breathing difficulty), wheezing; blood-stained sputum, bronchial secretions; [potential occupational carcinogen]","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0129,107-30-2,,,Ca [N.D.],: Ca,80.5,138°F,-154°F,Reacts,VP(70°F): 192 mmHg,10.25 eV,1.06,Fl.P(oc): 32°F,?,?,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; pulmonary edema, pulmonary congestion, pneumonitis; skin burns, necrosis; cough, wheezing, pulmonary congestion; blood stained-sputum; weight loss; bronchial secretions; [potential occupational carcinogen]","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0130,600-25-9,,1 ppm = 5.06 mg/m<sup>3</sup>,100 ppm,: TWA 2 ppm (10 mg/m<sup>3</sup>)                  : TWA 20 ppm (100 mg/m<sup>3</sup>),123.6,289°F,?,0.5%,VP(77°F): 6 mmHg,9.90 eV,1.21,Fl.P(oc): 144°F,?,?,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, ingestion, skin and/or eye contact","In animals: irritation eyes; pulmonary edema; liver, kidney, heart damage","respiratory system, liver, kidneys, cardiovascular system, eyes",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0131,76-15-3,,1 ppm = 6.32 mg/m<sup>3</sup>,N.D.,: TWA 1000 ppm (6320 mg/m<sup>3</sup>)                  : none,154.5,-38°F,-223°F,Sol(77°F): 0.006%,VP(70°F): 7.9 atm,12.96 eV,,NA,NA,NA,5.55,,Nonflammable Gas,"inhalation, skin and/or eye contact (liquid)","dyspnea (breathing difficulty); dizziness, incoordination, narcosis; nausea, vomiting; heart palpitations, cardiac arrhythmias, asphyxia; liquid: frostbite, dermatitis","Skin, central nervous system, cardiovascular system",() <strong>Skin:</strong> Frostbite                  <strong>Eyes:</strong> Frostbite                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Frostbite wash,()<strong>Eye:</strong> Frostbite                  <strong>Skin:</strong> Frostbite                  <strong>Breathing:</strong> Respiratory support
0132,76-06-2,,1 ppm = 6.72 mg/m<sup>3</sup>,2 ppm,: TWA 0.1 ppm (0.7 mg/m<sup>3</sup>)                  : TWA 0.1 ppm (0.7 mg/m<sup>3</sup>),164.4,234°F,-93°F,0.2%,18 mmHg,?,1.66,NA,NA,NA,,,Noncombustible Liquid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; lacrimation (discharge of tears); cough, pulmonary edema; nausea, vomiting","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0133,126-99-8,,1 ppm = 3.62 mg/m<sup>3</sup>,Ca [300 ppm],: Ca C 1 ppm (3.6 mg/m<sup>3</sup>) [15-minute] : TWA 25 ppm (90 mg/m<sup>3</sup>) [skin],88.5,139°F,-153°F,Slight,188 mmHg,8.79 eV,0.96,-4°F,11.3%,1.9%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; anxiety, irritability; dermatitis; alopecia; reproductive effects; [potential occupational carcinogen]","Eyes, skin, respiratory system, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0134,2039-87-4,,1 ppm = 5.67 mg/m<sup>3</sup>,N.D.,: TWA 50 ppm (285 mg/m<sup>3</sup>) ST 75 ppm (428 mg/m<sup>3</sup>)                  : none,138.6,372°F,-82°F,Insoluble,VP(77°F): 0.96 mmHg,?,1.10,138°F,?,?,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, ingestion, skin and/or eye contact","In animals: irritation eyes, skin; hematuria (blood in the urine), proteinuria, acidosis; enlarged liver, jaundice","Eyes, skin, liver, kidneys, central nervous system, peripheral nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0135,95-49-8,,1 ppm = 5.18 mg/m<sup>3</sup>,N.D.,: TWA 50 ppm (250 mg/m<sup>3</sup>) ST 75 ppm (375 mg/m<sup>3</sup>)                  : none,126.6,320°F,-31°F,Sol(77°F): 0.009%,VP(77°F): 4 mmHg,8.83 eV,1.08,96°F,?,?,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; dermatitis; drowsiness, incoordination, anesthesia; cough; liver, kidney injury","Eyes, skin, respiratory system, central nervous system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0136,1929-82-4,,,N.D.,: TWA 10 mg/m<sup>3</sup> (total) ST 20 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp)                  : TWA 15 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp),230.9,?,145°F,Insoluble,VP(73°F): 0.003 mmHg,?,?,?,?,?,,,Combustible Solid [Explosive],"inhalation, skin absorption, ingestion, skin and/or eye contact",No adverse effects noted in ingestion studies with animals.,"Eyes, skin",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0137,2921-88-2,,,N.D.,: TWA 0.2 mg/m<sup>3</sup> ST 0.6 mg/m<sup>3</sup> [skin]                  : none,350.6,320°F (Decomposes),108°F,0.0002%,0.00002 mmHg,?,1.40 (Liquid at 110°F),?,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","wheezing, laryngeal spasms, salivation; bluish lips, skin; miosis, blurred vision; nausea, vomiting, abdominal cramps, diarrhea","respiratory system, central nervous system, peripheral nervous system, plasma cholinesterase",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0138,1333-82-0 (CrO<sub>3</sub>),,,Ca [15 mg/m<sup>3 </sup>{as Cr(VI)}],(as Cr): Ca TWA 0.0002 mg/m<sup>3</sup> (8-hours),100.0,482°F (Decomposes),387°F (Decomposes),63%,Very low,NA,2.70 (CrO<sub>3</sub>),NA,NA,NA,,,"CrO<sub>3</sub>: Noncombustible Solid, but will accelerate the burning of combustible materials.","inhalation, ingestion, skin and/or eye contact","irritation respiratory system; nasal septum perforation; liver, kidney damage; leukocytosis (increased blood leukocytes), leukopenia (reduced blood leukocytes), eosinophilia; eye injury, conjunctivitis; skin ulcer, sensitization dermatitis; [potential occupational carcinogen]","Blood, respiratory system, liver, kidneys, eyes, skin","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0139,,,,250 mg/m<sup>3</sup> [as Cr(II)],: TWA 0.5 mg/m<sup>3</sup>,Properties vary depending upon the specific compound.,,,,,,,,,,,,,"inhalation, ingestion, skin and/or eye contact",irritation eyes; sensitization dermatitis,"Eyes, skin",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0140,,,,25 mg/m<sup>3</sup> [as Cr(III)],: TWA 0.5 mg/m<sup>3</sup>,Properties vary depending upon the specific compound.,,,,,,,,,,,,,"inhalation, ingestion, skin and/or eye contact",irritation eyes; sensitization dermatitis,"Eyes, skin",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0141,7440-47-3,,,250 mg/m<sup>3</sup> (as Cr),: TWA 0.5 mg/m<sup>3</sup>  [*Note: The PEL also applies to insoluble chromium salts.],52.0,4788°F,3452°F,Insoluble,0 mmHg (approx),NA,7.14,NA,NA,NA,,,"Noncombustible Solid in bulk form, but finely divided dust burns rapidly if heated in a flame.","inhalation, ingestion, skin and/or eye contact","irritation eyes, skin; lung fibrosis (histologic)","Eyes, skin, respiratory system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0142,14977-61-8,,,Ca [N.D.],: Ca TWA 0.001 mg Cr(VI)/m<sup>3</sup> : none,154.9,243°F,-142°F,Reacts,20 mmHg,12.60 eV,Sp.Gr(77°F): 1.91,NA,NA,NA,,,"Noncombustible Liquid, but a powerful oxidizer.","inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, upper respiratory system; eye, skin burns [potential occupational carcinogen]","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0143,2971-90-6,,,N.D.,: TWA 10 mg/m<sup>3</sup> (total) ST 20 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp)                  : TWA 15 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp),192.1,?,&gt;608°F,Insoluble,?,?,?,NA,NA,NA,,,"Noncombustible Solid, but dust may explode in cloud form.","inhalation, skin and/or eye contact","irritation eyes, skin, nose, throat; cough","Eyes, skin, respiratory system",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Fresh air
0144,,,,N.D.,": TWA 1 mg/m<sup>3</sup> [measured according to MSHA method (CPSU)]                  : TWA 2.4 mg/m<sup>3</sup> [respirable, &lt; 5% SiO<sub>2</sub>]",Properties vary depending upon the specific coal type.,,,,,,,,,,,,Combustible Solid; slightly explosive when exposed to flame.,inhalation,"Chronic bronchitis, decreased pulmonary function, emphysema",respiratory system,() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Breathing:</strong> Fresh air
0145,65996-93-2,,,Ca [80 mg/m<sup>3</sup>],: Ca TWA 0.1 mg/m<sup>3</sup> (cyclohexane-extractable fraction),Properties vary depending upon the specific compound.,,,,,,,,,,,,Combustible Solids,"inhalation, skin and/or eye contact","dermatitis, bronchitis, [potential occupational carcinogen]","respiratory system, skin, bladder, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0146,7440-48-4,,,20 mg/m<sup>3</sup> (as Co),: TWA 0.05 mg/m<sup>3</sup>: TWA 0.1 mg/m<sup>3</sup>,58.9,5612°F,2719°F,Insoluble,0 mmHg (approx),NA,8.92,NA,NA,NA,,,"Noncombustible Solid in bulk form, but finely divided dust will burn at high temperatures.","inhalation, ingestion, skin and/or eye contact","Cough, dyspnea (breathing difficulty), wheezing, decreased pulmonary function; weight loss; dermatitis; diffuse nodular fibrosis; resp hypersensitivity, asthma","Skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0147,10210-68-1,,,N.D.,: TWA 0.1 mg/m<sup>3</sup>: none,341.9,126°F (Decomposes),124°F,Insoluble,0.7 mmHg,?,1.87,NA,NA,NA,,,"Noncombustible Solid, but flammable carbon monoxide is emitted during decomposition.","inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; cough, decreased pulmonary function, wheezing, dyspnea (breathing difficulty); in animals: liver, kidney injury, pulmonary edema","Eyes, skin, respiratory system, blood, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0148,16842-03-8,,,N.D.,: TWA 0.1 mg/m<sup>3</sup>: none,172.0,?,-15°F,0.05%,&gt;1 atm,?,,NA (Gas),?,?,5.93,,Flammable Gas,"inhalation, skin and/or eye contact","In animals: irritation respiratory system; dyspnea (breathing difficulty), cough, decreased pulmonary function, pulmonary edema","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support
0149,,,,Ca [N.D.],: Ca TWA 0.2 mg/m<sup>3</sup> (benzene-soluble fraction) : [1910.1029] TWA 0.150 mg/m<sup>3</sup> (benzene-soluble fraction),Properties vary depending upon the constituent.,,,,,,,,,,,,,"inhalation, skin and/or eye contact","irritation eyes, respiratory system; cough, dyspnea (breathing difficulty), wheezing; [potential occupational carcinogen]","Skin, respiratory system, urinary system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> Daily                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Breathing:</strong> Respiratory support
0150,7440-50-8,,,100 mg/m<sup>3</sup> (as Cu),*: TWA 1 mg/m<sup>3</sup> [*Note: The REL also applies to other copper compounds (as Cu) except Copper fume.]                  *: TWA 1 mg/m<sup>3</sup> [*Note: The PEL also applies to other copper compounds (as Cu) except copper fume.],63.5,4703°F,1981°F,Insoluble,0 mmHg (approx),NA,8.94,NA,NA,NA,,,"Noncombustible Solid in bulk form, but powdered form may ignite.","inhalation, ingestion, skin and/or eye contact","irritation eyes, nose, pharynx; nasal septum perforation; metallic taste; dermatitis; in animals: lung, liver, kidney damage; anemia","Eyes, skin, respiratory system, liver, kidneys (increased risk with Wilson's disease)",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0151,1317-38-0 (CuO),,,100 mg/m<sup>3</sup> (as Cu),: TWA 0.1 mg/m<sup>3</sup>: TWA 0.1 mg/m<sup>3</sup>,79.5,Decomposes,1879°F (Decomposes),Insoluble,0 mmHg (approx),NA,6.4 (CuO),NA,NA,NA,,,CuO: Noncombustible Solid,"inhalation, skin and/or eye contact","irritation eyes, upper respiratory system; metal fume fever: chills, muscle ache, nausea, fever, dry throat, cough, lassitude (weakness, exhaustion); metallic or sweet taste; discoloration skin, hair","Eyes, skin, respiratory system (increased risk with Wilson's disease)",() <strong>Skin:</strong> No recommendation                  <strong>Eyes:</strong> No recommendation                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> No recommendation,()<strong>Breathing:</strong> Respiratory support
0153,136-78-7,,,500 mg/m<sup>3</sup>,: TWA 10 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp)                  : TWA 15 mg/m<sup>3</sup> (total) TWA 5 mg/m<sup>3</sup> (resp),309.1,Decomposes,473°F (Decomposes),Sol(77°F): 26%,0.1 mmHg,?,1.70,NA,NA,NA,,,Noncombustible Solid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin; liver, kidney damage; in animals: central nervous system effects, convulsions","Eyes, skin, central nervous system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0154,95-48-7,,1 ppm = 4.43 mg/m<sup>3</sup>,250 ppm,: TWA 2.3 ppm (10 mg/m<sup>3</sup>)                  : TWA 5 ppm (22 mg/m<sup>3</sup>) [skin],108.2,376°F,88°F,2%,VP(77°F): 0.29 mmHg,8.93 eV,1.05,178°F,?,LEL(300°F): 1.4%,,,Combustible Solid Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; central nervous system effects: confusion, depression, resp failure; dyspnea (breathing difficulty), irreg rapid resp, weak pulse; eye, skin burns; dermatitis; lung, liver, kidney, pancreas damage","Eyes, skin, respiratory system, central nervous system, liver, kidneys, pancreas, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
